School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00140505:Public School:Ashland:09,10,11,12:00140000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:202:172:183:187:0:744:11.3:1.7:13.2:22.8:10.3:2.0:9.0:9.4:77.2:0.3:0.0:2.2:48.8:14.6:76355.0:12867.66:13607.92
00140405:Public School:Ashland:06,07,08:00140000:Level 1:Level 2:0:0:0:0:0:0:179:206:202:0:0:0:0:0:587:19.4:2.4:14.5:29.3:14.8:2.4:12.1:11.2:71.0:0.3:0.0:2.9:48.7:19.1:76355.0:12867.66:13607.92
00140015:Public School:Ashland:03,04,05:00140000:Level 2:Level 2:0:0:0:214:208:198:0:0:0:0:0:0:0:0:620:26.0:6.1:17.1:30.8:12.4:2.1:13.5:9.5:70.5:1.0:0.0:3.4:50.6:21.7:76355.0:12867.66:13607.92
00140010:Public School:Ashland:K,01,02:00140000:Insufficient data:Level 2:0:187:219:0:0:0:0:0:0:0:0:0:0:0:619:15.7:6.6:12.6:27.9:11.6:1.8:14.1:10.7:69.1:0.6:0.2:3.6:49.8:21.2:76355.0:12867.66:13607.92
00140005:Public School:Ashland:PK:00140000:Insufficient data:Level 2:131:0:0:0:0:0:0:0:0:0:0:0:0:0:131:15.3:0.0:20.6:26.0:11.5:1.5:17.6:3.8:73.3:0.0:0.0:3.8:51.9:7.1:76355.0:12867.66:13607.92
00160001:Public School:Attleboro:K,01,02,03,04:00160000:Level 1:Level 2:0:97:94:80:97:0:0:0:0:0:0:0:0:0:441:24.0:17.7:15.4:55.3:38.3:3.9:1.8:27.9:59.2:0.2:0.2:6.8:52.6:20.5:76386.0:12517.75:12980.4
00160515:Public School:Attleboro:09,10,11,12:00160000:Insufficient data:Level 2:0:0:0:0:0:0:0:0:0:0:14:35:14:0:63:12.7:0.0:9.5:54.0:46.0:1.6:1.6:11.1:76.2:1.6:0.0:7.9:54.0:7.6:76386.0:12517.75:12980.4
00160505:Public School:Attleboro:09,10,11,12:00160000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:449:401:419:392:10:1671:10.2:2.3:14.2:35.5:25.6:5.5:4.1:12.5:73.6:0.3:0.2:3.8:54.2:18.1:76386.0:12517.75:12980.4
00160315:Public School:Attleboro:05,06,07,08:00160000:Level 2:Level 2:0:0:0:0:0:145:123:141:143:0:0:0:0:0:552:14.1:4.9:14.9:45.5:32.2:4.2:4.9:18.1:64.9:0.4:0.4:7.2:53.3:20.8:76386.0:12517.75:12980.4
00160008:Public School:Attleboro:PK:00160000:Insufficient data:Level 2:187:0:0:0:0:0:0:0:0:0:0:0:0:0:187:10.7:0.5:45.5:60.4:28.9:3.7:3.7:10.7:75.9:0.0:0.0:5.9:61.5:7.2:76386.0:12517.75:12980.4
00160045:Public School:Attleboro:K,01,02,03,04:00160000:Level 1:Level 2:0:96:77:95:105:0:0:0:0:0:0:0:0:0:467:15.8:4.3:12.6:39.6:26.1:6.0:3.9:12.8:68.3:0.9:0.0:8.1:55.0:23.9:76386.0:12517.75:12980.4
00160040:Public School:Attleboro:K,01,02,03,04:00160000:Level 1:Level 2:0:92:81:97:81:0:0:0:0:0:0:0:0:0:443:16.5:13.3:12.2:43.3:30.2:4.3:6.3:12.6:70.7:0.0:0.0:6.1:47.2:22.4:76386.0:12517.75:12980.4
00160050:Public School:Attleboro:K,01,02,03,04:00160000:Level 1:Level 2:0:71:75:87:86:0:0:0:0:0:0:0:0:0:394:13.7:6.9:24.4:48.5:30.7:3.8:6.1:11.7:68.8:0.0:0.0:9.6:53.8:16.5:76386.0:12517.75:12980.4
00160305:Public School:Attleboro:05,06,07,08:00160000:Level 1:Level 2:0:0:0:0:0:164:141:195:163:0:0:0:0:0:663:7.5:1.5:17.5:34.4:19.8:3.6:3.6:10.6:76.8:0.0:0.0:5.4:51.0:24.3:76386.0:12517.75:12980.4
00160035:Public School:Attleboro:K,01,02,03,04:00160000:Level 1:Level 2:0:93:90:95:80:0:0:0:0:0:0:0:0:0:449:17.6:11.6:14.0:51.2:37.6:6.2:9.4:9.8:65.0:0.0:0.0:9.6:52.3:21.7:76386.0:12517.75:12980.4
00160320:Public School:Attleboro:05,06,07,08:00160000:Level 2:Level 2:0:0:0:0:0:150:146:136:147:0:0:0:0:0:579:17.1:3.5:17.1:44.2:31.3:6.0:5.9:18.7:64.9:0.0:0.2:4.3:53.7:21.8:76386.0:12517.75:12980.4
