School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00240018:Public School:Belchertown:01,02,03:00240000:Level 2:Level 2:0:156:161:184:0:0:0:0:0:0:0:0:0:0:501:2.0:2.0:21.0:38.1:23.2:2.0:1.2:5.0:88.6:0.6:0.0:2.6:52.1:20.3:63183.0:12262.88:12591.99
00250003:Public School:Bellingham:PK:00250000:Insufficient data:Level 2:96:0:0:0:0:0:0:0:0:0:0:0:0:0:96:2.1:0.0:37.5:43.8:15.6:2.1:3.1:0.0:91.7:0.0:2.1:1.0:57.3:15.7:71691.0:12852.89:13220.48
00250505:Public School:Bellingham:08,09,10,11,12:00250000:Level 2:Level 2:0:0:0:0:0:0:0:0:185:149:142:122:141:0:739:3.0:1.1:19.4:31.7:15.6:1.8:3.1:5.3:88.4:0.3:0.0:1.2:54.5:18.3:71691.0:12852.89:13220.48
00250315:Public School:Bellingham:04,05,06,07:00250000:Level 2:Level 2:0:0:0:0:171:188:170:182:0:0:0:0:0:0:711:4.5:1.0:17.6:30.7:17.3:1.7:4.2:3.5:88.9:0.3:0.0:1.4:49.9:20.2:71691.0:12852.89:13220.48
00250510:Public School:Bellingham:07,08,09,10,11,12:00250000:Insufficient data:Level 2:0:0:0:0:0:0:0:1:2:10:10:8:3:0:34:0.0:0.0:73.5:85.3:44.1:0.0:0.0:11.8:85.3:0.0:0.0:2.9:64.7:8.6:71691.0:12852.89:13220.48
00250020:Public School:Bellingham:K,01,02,03:00250000:Level 1:Level 2:0:79:94:88:0:0:0:0:0:0:0:0:0:0:335:2.1:0.9:13.7:27.5:17.3:1.8:1.2:2.1:91.9:0.0:2.4:0.6:50.1:20.0:71691.0:12852.89:13220.48
00250025:Public School:Bellingham:K,01,02,03:00250000:Level 2:Level 2:0:79:89:87:0:0:0:0:0:0:0:0:0:0:342:4.7:3.8:13.5:33.0:21.3:1.8:2.0:3.5:87.4:0.0:1.5:3.8:46.8:16.0:71691.0:12852.89:13220.48
00260505:Public School:Belmont:09,10,11,12:00260000:Level 1:Level 1:0:0:0:0:0:0:0:0:0:330:312:332:290:0:1264:16.5:2.1:5.7:14.3:6.5:4.6:16.8:3.5:69.9:0.0:0.1:5.2:46.9:19.2:85241.0:11689.27:13028.52
00260015:Public School:Belmont:K,01,02,03,04:00260000:Level 1:Level 1:0:68:82:74:67:0:0:0:0:0:0:0:0:0:363:31.4:13.5:7.2:34.4:12.9:4.4:23.7:8.8:56.7:0.6:0.0:5.8:52.6:22.8:85241.0:11689.27:13028.52
00260010:Public School:Belmont:K,01,02,03,04:00260000:Level 1:Level 1:0:65:91:74:73:0:0:0:0:0:0:0:0:0:373:19.0:12.3:5.6:24.9:5.9:2.1:20.6:4.3:65.1:0.0:0.3:7.5:49.6:22.8:85241.0:11689.27:13028.52
00260035:Public School:Belmont:PK,K,01,02,03,04:00260000:Level 1:Level 1:61:110:122:115:119:0:0:0:0:0:0:0:0:0:641:22.9:9.8:10.9:27.5:8.0:3.1:15.3:2.2:69.0:0.0:0.0:10.5:55.1:22.5:85241.0:11689.27:13028.52
00260005:Public School:Belmont:K,01,02,03,04:00260000:Level 1:Level 1:0:86:96:101:91:0:0:0:0:0:0:0:0:0:468:25.0:12.2:8.1:25.6:4.5:1.7:24.8:3.4:63.0:0.2:0.0:6.8:51.3:22.4:85241.0:11689.27:13028.52
00260305:Public School:Belmont:05,06,07,08:00260000:Level 1:Level 1:0:0:0:0:0:348:341:343:325:0:0:0:0:0:1357:21.3:2.8:10.2:20.6:7.5:3.5:16.1:4.9:69.3:0.1:0.1:6.0:49.7:22.1:85241.0:11689.27:13028.52
00270010:Public School:Berkley:PK,K,01,02,03,04:00270000:Level 2:Level 2:59:95:90:112:95:0:0:0:0:0:0:0:0:0:537:0.0:0.0:13.8:29.1:18.4:0.0:0.2:0.9:96.1:0.0:0.0:2.8:49.5:20.8:72749.0:12028.68:13153.79
00270305:Public School:Berkley:05,06,07,08:00270000:Level 2:Level 2:0:0:0:0:0:88:99:106:99:0:0:0:0:0:392:0.3:0.3:18.1:25.3:11.0:1.0:0.8:1.5:94.1:0.0:0.0:2.6:48.0:19.3:72749.0:12028.68:13153.79
00280005:Public School:Berlin:PK,K,01,02,03,04,05:00280000:Level 2:Level 2:18:33:20:26:29:36:0:0:0:0:0:0:0:0:190:11.1:5.3:15.3:31.6:17.9:0.5:2.1:3.7:88.9:0.5:0.0:4.2:57.4:15.6:78541.0:18464.49:18680.1
00300055:Public School:Beverly:K,01,02,03,04,05:00300000:Level 1:Level 2:0:107:94:88:78:79:0:0:0:0:0:0:0:0:525:21.5:17.1:14.3:48.4:31.4:3.4:4.4:17.0:73.1:0.0:0.0:2.1:52.0:22.0:71078.0:12220.91:13188.37
00300505:Public School:Beverly:09,10,11,12:00300000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:310:301:333:332:9:1285:4.1:2.0:17.7:35.2:23.8:3.0:2.7:10.8:81.2:0.0:0.2:2.2:49.8:18.9:71078.0:12220.91:13188.37
00300305:Public School:Beverly:06,07,08:00300000:Level 2:Level 2:0:0:0:0:0:0:332:349:328:0:0:0:0:0:1009:3.1:1.7:20.3:37.6:23.4:3.0:2.4:9.5:82.2:0.0:0.0:3.0:53.9:19.3:71078.0:12220.91:13188.37
00300010:Public School:Beverly:K,01,02,03,04,05:00300000:Level 2:Level 2:0:53:58:73:60:51:0:0:0:0:0:0:0:0:358:2.0:1.4:20.1:42.2:34.1:3.9:0.6:15.4:76.3:0.0:0.0:3.9:52.2:16.5:71078.0:12220.91:13188.37
00300015:Public School:Beverly:K,01,02,03,04,05:00300000:Level 1:Level 2:0:79:83:74:79:56:0:0:0:0:0:0:0:0:464:3.7:2.6:17.5:40.3:28.4:3.0:1.3:11.4:77.4:0.0:0.2:6.7:52.2:15.8:71078.0:12220.91:13188.37
00300033:Public School:Beverly:K,01,02,03,04,05:00300000:Level 1:Level 2:0:49:79:59:87:64:0:0:0:0:0:0:0:0:381:2.1:1.6:19.4:34.4:20.7:1.3:1.3:11.8:80.8:0.0:0.0:4.7:51.4:16.8:71078.0:12220.91:13188.37
00300002:Public School:Beverly:PK:00300000:Insufficient data:Level 2:112:0:0:0:0:0:0:0:0:0:0:0:0:0:112:9.8:1.8:56.3:70.5:35.7:5.4:0.9:11.6:74.1:0.0:0.0:8.0:63.4:9.0:71078.0:12220.91:13188.37
00300040:Public School:Beverly:K,01,02,03,04,05:00300000:Level 1:Level 2:0:60:62:93:62:73:0:0:0:0:0:0:0:0:391:1.5:0.5:16.9:32.2:20.7:2.0:2.0:10.5:82.6:0.3:0.0:2.6:51.9:17.0:71078.0:12220.91:13188.37
00310505:Public School:Billerica:PK,09,10,11,12:00310000:Level 2:Level 3:144:0:0:0:0:0:0:0:0:360:274:310:280:8:1376:6.8:1.2:14.9:26.7:15.2:2.3:6.4:4.6:84.3:0.1:0.3:2.0:49.9:17.7:74345.0:14737.99:15434.97
00310030:Public School:Billerica:K,01,02,03,04,05:00310000:Level 3:Level 3:0:34:31:36:33:30:0:0:0:0:0:0:0:0:197:3.0:0.0:13.7:27.9:17.8:2.0:4.6:10.2:76.6:0.0:0.5:6.1:53.8:16.5:74345.0:14737.99:15434.97
00310007:Public School:North Billerica:K,01,02,03,04,05:00310000:Level 1:Level 3:0:45:56:39:52:60:0:0:0:0:0:0:0:0:303:4.0:0.0:17.2:32.3:18.8:4.3:3.3:5.6:84.5:0.0:0.0:2.3:50.2:18.8:74345.0:14737.99:15434.97
00310026:Public School:Billerica:K,01,02,03,04,05:00310000:Level 2:Level 3:0:73:68:101:78:80:0:0:0:0:0:0:0:0:477:16.6:5.2:13.6:33.3:17.4:4.6:8.6:8.4:76.9:0.4:0.0:1.0:53.2:20.3:74345.0:14737.99:15434.97
00310012:Public School:Billerica:K,01,02,03,04,05:00310000:Level 2:Level 3:0:63:51:53:52:62:0:0:0:0:0:0:0:0:321:2.5:0.0:9.7:18.7:11.8:1.6:2.8:2.8:90.7:0.0:0.0:2.2:50.5:18.7:74345.0:14737.99:15434.97
00310310:Public School:Billerica:06,07,08:00310000:Level 2:Level 3:0:0:0:0:0:0:174:172:190:0:0:0:0:0:536:5.6:0.0:19.2:27.2:12.9:2.2:6.2:3.4:85.4:0.0:0.2:2.6:51.1:18.4:74345.0:14737.99:15434.97
00310305:Public School:Billerica:06,07,08:00310000:Level 1:Level 3:0:0:0:0:0:0:204:215:204:0:0:0:0:0:623:7.9:1.3:19.3:32.4:17.2:3.2:5.5:3.9:85.9:0.2:0.2:1.3:49.6:19.2:74345.0:14737.99:15434.97
00310015:Public School:Billerica:K,01,02,03,04,05:00310000:Level 1:Level 3:0:96:87:90:84:67:0:0:0:0:0:0:0:0:507:5.9:0.8:18.1:32.7:18.3:5.9:10.5:6.9:73.2:0.4:0.0:3.2:55.8:20.2:74345.0:14737.99:15434.97
00310005:Public School:Billerica:K,01,02,03,04,05:00310000:Level 2:Level 3:0:84:89:86:107:82:0:0:0:0:0:0:0:0:542:6.6:2.4:12.7:27.5:15.9:5.0:9.0:6.1:75.5:0.0:0.0:4.4:48.9:19.0:74345.0:14737.99:15434.97
00350541:Public School:Hyde Park:09,10,11,12:00350000:Level 2:Level 4:0:0:0:0:0:0:0:0:0:49:55:62:57:0:223:48.0:17.0:22.0:73.1:61.4:43.0:5.8:39.9:7.2:0.4:0.4:3.1:49.3:16.8:88790.0:19224.89:19246.36
00350003:Public School:Brighton:PK,K,01:00350000:Insufficient data:Level 4:82:32:0:0:0:0:0:0:0:0:0:0:0:0:159:64.8:59.1:23.3:79.2:31.4:15.1:25.8:32.1:22.6:0.0:0.0:4.4:59.7:18.8:88790.0:19224.89:19246.36
00350021:Public School:West Roxbury:PK,K,01,02,03:00350000:Insufficient data:Level 4:41:91:111:5:0:0:0:0:0:0:0:0:0:0:329:29.8:26.1:14.6:60.2:39.5:23.4:3.6:29.2:41.0:0.0:0.0:2.7:49.5:17.2:88790.0:19224.89:19246.36
00350390:Public School:Boston:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:80:76:83:100:99:66:0:0:0:0:0:0:0:0:585:56.8:46.5:23.6:91.1:72.5:24.1:1.5:69.4:3.6:0.0:0.2:1.2:52.6:18.6:88790.0:19224.89:19246.36
00350548:Public School:Back Bay:11,12:00350000:Insufficient data:Level 4:0:0:0:0:0:0:0:0:0:0:0:109:88:0:197:78.2:74.6:7.1:93.4:51.3:53.8:2.0:37.1:5.1:0.0:1.0:1.0:48.7:18.1:88790.0:19224.89:19246.36
00350546:Public School:Boston:09,10,11,12:00350000:Level 1:Level 4:0:0:0:0:0:0:0:0:0:132:125:94:96:0:447:35.8:4.5:13.4:55.3:43.6:40.5:4.5:39.4:12.5:0.0:0.0:3.1:36.2:14.6:88790.0:19224.89:19246.36
00350755:Public School:Roslindale:07,08,09,10,11,12:00350000:Level 3:Level 4:0:0:0:0:0:0:0:1:7:4:27:62:91:1:193:39.4:15.5:17.6:77.2:66.3:43.0:1.0:39.4:14.5:1.0:0.0:1.0:51.8:31.1:88790.0:19224.89:19246.36
00350558:Public School:Hyde Park:09,10,11,12:00350000:Level 2:Level 4:0:0:0:0:0:0:0:0:0:123:132:120:121:4:500:61.0:24.6:22.0:77.2:56.0:36.0:4.8:51.2:5.8:0.4:0.0:1.8:51.2:16.5:88790.0:19224.89:19246.36
00350507:Public School:Dorchester:09,10,11,12:00350000:Level 1:Level 4:0:0:0:0:0:0:0:0:0:158:83:69:68:0:378:100.0:79.6:4.2:99.5:60.3:47.4:3.4:45.5:1.9:0.0:0.8:1.1:51.9:15.3:88790.0:19224.89:19246.36
00350560:Public School:Boston:07,08,09,10,11,12:00350000:Level 2:Level 4:0:0:0:0:0:0:0:386:387:424:407:420:379:0:2403:32.7:3.2:2.1:20.8:15.7:8.0:29.0:12.1:46.9:0.1:0.0:3.8:45.1:25.8:88790.0:19224.89:19246.36
00350545:Public School:Dorchester:07,08,09,10,11,12:00350000:Level 2:Level 4:0:0:0:0:0:0:0:262:269:303:293:303:268:0:1698:41.6:1.8:2.9:36.6:31.7:22.7:21.9:22.6:29.3:0.4:0.2:2.9:41.9:17.9:88790.0:19224.89:19246.36
00350012:Public School:Jamaica Plain:PK,K,01,02,03,04,05,06,07,08:00350000:Level 2:Level 4:21:20:24:32:34:28:46:35:35:0:0:0:0:0:296:24.3:13.5:21.6:56.1:39.9:23.0:2.7:39.5:31.1:0.3:0.0:3.4:51.4:18.6:88790.0:19224.89:19246.36
00350505:Public School:Brighton:09,10,11,12:00350000:Level 4:Level 4:0:0:0:0:0:0:0:0:0:203:189:213:192:14:811:59.3:41.6:23.8:86.2:61.0:44.3:3.1:45.7:5.4:0.4:0.1:1.0:60.3:17.8:88790.0:19224.89:19246.36
00350036:Public School:Boston:07,08,09,10,11,12:00350000:Insufficient data:Level 4:0:0:0:0:0:0:0:3:1:2:5:3:9:6:29:55.2:31.0:100.0:100.0:75.9:51.7:13.8:17.2:13.8:0.0:3.4:0.0:62.1:27.0:88790.0:19224.89:19246.36
00350054:Public School:Mattapan:PK,K,01,02,03,04,05:00350000:Level 2:Level 4:21:74:97:95:72:70:0:0:0:0:0:0:0:0:507:37.1:32.5:15.0:82.4:68.2:75.1:1.2:18.1:1.6:1.0:0.2:2.8:51.1:18.6:88790.0:19224.89:19246.36
00350052:Public School:Roslindale:PK,K,01,02,03,04,05:00350000:Level 2:Level 4:54:87:98:102:80:45:0:0:0:0:0:0:0:0:558:45.2:40.3:21.0:73.8:55.4:19.2:1.4:60.8:14.2:0.0:0.2:4.3:53.2:18.9:88790.0:19224.89:19246.36
00350515:Public School:Charlestown:09,10,11,12:00350000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:259:188:225:195:43:910:61.9:41.5:25.3:87.4:62.9:33.1:17.0:43.5:5.2:0.1:0.0:1.1:60.1:15.2:88790.0:19224.89:19246.36
00350430:Public School:Charlestown:06,07,08:00350000:Level 3:Level 4:0:0:0:0:0:0:97:110:128:0:0:0:0:0:335:68.4:42.4:31.6:88.7:58.5:13.1:7.5:68.1:9.6:0.0:0.0:1.8:54.3:19.4:88790.0:19224.89:19246.36
00350518:Public School:Jamaica Plain:09,10,11,12:00350000:Insufficient data:Level 4:0:0:0:0:0:0:0:0:0:2:13:16:13:0:44:15.9:9.1:18.2:75.0:72.7:68.2:0.0:25.0:2.3:0.0:0.0:4.5:88.6:7.6:88790.0:19224.89:19246.36
00350581:Public School:Dorchester:09,10,11,12:00350000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:87:76:116:63:23:365:45.8:31.0:36.2:86.6:66.8:69.6:3.3:23.3:2.2:0.0:0.0:1.6:54.0:16.6:88790.0:19224.89:19246.36
00350020:Public School:Jamaica Plain:PK,K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:106:87:82:110:120:90:109:70:85:0:0:0:0:0:948:47.5:36.5:26.2:69.6:52.2:18.7:2.5:53.8:20.1:0.0:0.1:4.7:49.6:19.0:88790.0:19224.89:19246.36
00350062:Public School:East Boston:PK,K,01,02,03,04,05:00350000:Level 2:Level 4:29:33:53:54:68:38:0:0:0:0:0:0:0:0:309:76.4:66.7:21.0:89.3:56.3:1.0:0.6:81.2:16.5:0.0:0.0:0.6:52.4:16.8:88790.0:19224.89:19246.36
00350066:Public School:East Boston:PK,K,01,02,03,04,05,06:00350000:Insufficient data:Level 4:28:13:16:10:7:4:4:0:0:0:0:0:0:0:96:59.4:49.0:10.4:71.9:33.3:1.0:0.0:62.5:30.2:0.0:0.0:6.3:49.0:6.6:88790.0:19224.89:19246.36
00350072:Public School:Roxbury:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:43:78:73:59:60:44:0:0:0:0:0:0:0:0:438:44.3:37.4:13.7:87.2:75.6:35.8:0.2:59.6:2.5:0.2:0.0:1.6:49.8:18.6:88790.0:19224.89:19246.36
00350074:Public School:Dorchester:06,07,08,09,10,11,12:00350000:Level 4:Level 4:0:0:0:0:0:0:58:52:53:48:39:40:19:0:309:65.0:48.2:12.9:85.4:61.5:67.3:0.3:26.5:1.6:0.6:0.0:3.6:55.0:13.9:88790.0:19224.89:19246.36
00350077:Public School:Roslindale:PK,K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:25:40:44:47:71:48:46:42:51:0:0:0:0:0:452:22.6:17.5:31.0:62.4:41.4:30.8:1.1:36.9:24.8:0.2:0.4:5.8:48.5:22.9:88790.0:19224.89:19246.36
00350080:Public School:East Boston:PK,K,01,02,03,04,05,06,07,08:00350000:Level 1:Level 4:19:68:85:73:88:69:103:76:92:0:0:0:0:0:732:84.8:59.4:13.0:88.3:50.3:2.2:0.5:89.2:7.2:0.0:0.0:0.8:51.2:19.2:88790.0:19224.89:19246.36
00350651:Public School:Dorchester:09,10,11,12:00350000:Level 4:Level 4:0:0:0:0:0:0:0:0:0:40:18:12:29:0:99:33.3:8.1:34.3:77.8:72.7:61.6:1.0:32.3:4.0:0.0:0.0:1.0:45.5:10.7:88790.0:19224.89:19246.36
00350008:Public School:Mattapan:PK,K,01,02,03:00350000:Level 2:Level 4:44:39:35:33:0:0:0:0:0:0:0:0:0:0:189:56.6:54.0:21.2:84.7:63.0:50.3:1.1:42.9:3.2:1.1:0.0:1.6:55.6:18.2:88790.0:19224.89:19246.36
00350266:Public School:Dorchester:PK,K,01,02:00350000:Level 1:Level 4:74:49:48:0:0:0:0:0:0:0:0:0:0:0:217:26.3:25.8:25.8:63.1:37.3:25.8:13.8:17.5:40.1:0.0:0.5:2.3:47.9:25.1:88790.0:19224.89:19246.36
00350426:Public School:Dorchester:03,04,05,06,07,08,09,10,11,12:00350000:Level 3:Level 4:0:0:0:39:50:38:52:59:60:67:60:45:30:5:505:25.1:11.5:42.6:80.4:54.7:43.2:6.7:25.7:21.6:0.2:0.2:2.4:54.7:17.1:88790.0:19224.89:19246.36
00350006:Public School:Jamaica Plain:PK,K,01:00350000:Insufficient data:Level 4:46:31:0:0:0:0:0:0:0:0:0:0:0:0:114:43.0:40.4:22.8:71.9:46.5:22.8:7.9:49.1:14.0:0.9:0.0:5.3:54.4:17.4:88790.0:19224.89:19246.36
00350009:Public School:East Boston:PK,K,01:00350000:Insufficient data:Level 4:51:54:0:0:0:0:0:0:0:0:0:0:0:0:170:63.5:55.3:22.4:84.1:49.4:5.9:1.2:62.4:28.2:0.0:0.0:2.4:55.3:17.9:88790.0:19224.89:19246.36
00350530:Public School:East Boston:09,10,11,12:00350000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:365:393:368:354:16:1496:76.7:43.4:15.4:80.2:46.0:6.9:1.3:77.7:12.8:0.6:0.0:0.8:56.7:17.7:88790.0:19224.89:19246.36
00350375:Public School:Brighton:PK,K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:20:53:85:77:73:82:85:73:87:0:0:0:0:0:688:61.2:48.5:21.9:84.9:59.2:19.9:15.7:45.3:15.7:0.6:0.1:2.6:54.4:19.8:88790.0:19224.89:19246.36
00350088:Public School:Dorchester:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:17:38:40:50:50:44:0:0:0:0:0:0:0:0:278:46.8:34.9:14.7:83.5:62.6:42.8:19.1:30.6:4.0:0.4:0.0:3.2:52.9:20.9:88790.0:19224.89:19246.36
00350096:Public School:Boston:PK,K,01,02,03,04,05,06,07,08:00350000:Level 1:Level 4:38:77:85:65:71:44:48:26:27:0:0:0:0:0:558:16.1:9.7:20.3:38.7:20.4:9.5:6.8:19.7:58.1:0.2:0.2:5.6:50.7:18.7:88790.0:19224.89:19246.36
00350100:Public School:Roxbury:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:24:41:41:39:35:23:0:0:0:0:0:0:0:0:244:27.5:23.8:22.5:52.9:34.8:22.5:0.4:33.6:36.1:0.0:0.0:7.4:52.5:18.4:88790.0:19224.89:19246.36
00350522:Public School:South Boston:09,10,11,12:00350000:Level 4:Level 4:0:0:0:0:0:0:0:0:0:134:120:160:110:1:525:53.9:29.7:27.4:84.4:64.6:37.7:21.9:28.8:9.7:0.4:0.4:1.1:61.9:17.0:88790.0:19224.89:19246.36
00350540:Public School:Roxbury:09,10,11,12:00350000:Level 1:Level 4:0:0:0:0:0:0:0:0:0:107:96:76:81:0:360:50.8:20.0:19.7:66.9:48.3:33.9:3.6:55.3:5.3:0.0:0.3:1.7:47.2:21.9:88790.0:19224.89:19246.36
00350116:Public School:Hyde Park:PK,K,01,02,03,04,05,06,07,08:00350000:Level 2:Level 4:41:42:40:44:47:44:54:48:53:0:0:0:0:0:453:30.5:17.9:25.2:65.1:43.7:33.1:2.2:43.0:20.1:0.0:0.2:1.3:49.0:23.0:88790.0:19224.89:19246.36
00350326:Public School:Allston:PK,K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:25:38:44:37:43:46:49:39:35:0:0:0:0:0:401:66.8:48.9:23.2:82.0:51.4:12.0:5.2:64.8:13.5:0.0:0.5:4.0:53.1:16.9:88790.0:19224.89:19246.36
00350122:Public School:Roslindale:PK,K,01,02,03,04,05:00350000:Level 1:Level 4:19:45:27:53:25:30:0:0:0:0:0:0:0:0:222:32.4:24.8:32.9:66.7:48.2:36.5:2.7:39.2:18.9:0.0:0.0:2.7:56.3:15.1:88790.0:19224.89:19246.36
00350543:Public School:Roxbury:10,11,12:00350000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:2:18:41:163:1:225:55.1:24.0:12.9:75.1:60.0:30.7:0.0:61.8:4.9:0.9:0.0:1.8:53.8:15.3:88790.0:19224.89:19246.36
00350200:Public School:Charlestown:PK,K,01,02,03,04,05:00350000:Level 1:Level 4:38:58:77:108:94:66:0:0:0:0:0:0:0:0:495:56.4:47.1:21.6:91.3:74.5:23.0:29.1:34.5:10.1:0.2:0.2:2.8:55.8:16.8:88790.0:19224.89:19246.36
00350010:Public School:Roxbury:PK,K,01:00350000:Insufficient data:Level 4:47:68:0:0:0:0:0:0:0:0:0:0:0:0:187:50.3:47.6:13.4:86.6:68.4:52.4:2.1:38.5:2.1:1.1:0.0:3.7:52.9:16.5:88790.0:19224.89:19246.36
00350135:Public School:Hyde Park:PK,K,01,02,03,04,05:00350000:Level 4:Level 4:20:37:41:32:37:28:0:0:0:0:0:0:0:0:239:27.6:20.5:5.0:76.2:66.1:42.7:2.1:42.7:7.1:0.0:0.4:5.0:49.8:21.6:88790.0:19224.89:19246.36
00350015:Public School:Roxbury:PK,K,01,02:00350000:Insufficient data:Level 4:28:50:50:0:0:0:0:0:0:0:0:0:0:0:173:43.9:41.0:28.9:91.3:75.7:41.0:0.6:53.8:1.2:0.0:0.6:2.9:54.3:17.7:88790.0:19224.89:19246.36
00350377:Public School:Roxbury:K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:0:3:56:79:78:39:22:47:29:0:0:0:0:0:355:27.0:19.4:27.0:88.2:78.9:51.5:0.8:40.3:1.7:0.6:0.0:5.1:55.2:18.1:88790.0:19224.89:19246.36
00350750:Public School:Allston:PK,K,01,02,04,05,06,07,08,09,10,11,12:00350000:Level 2:Level 4:6:5:9:0:9:2:6:7:3:10:10:6:7:2:90:60.0:44.4:97.8:100.0:73.3:37.8:6.7:41.1:11.1:0.0:0.0:3.3:61.1:5.8:88790.0:19224.89:19246.36
00350141:Public School:East Boston:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:19:40:42:44:39:48:0:0:0:0:0:0:0:0:272:84.2:73.5:12.5:93.0:53.3:0.7:2.6:91.2:4.0:0.0:0.0:1.5:51.5:23.1:88790.0:19224.89:19246.36
00350013:Public School:Allston:PK,K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:48:87:80:84:94:79:69:57:76:0:0:0:0:0:765:48.1:36.6:21.2:82.5:63.1:38.4:11.0:39.1:8.1:0.3:0.0:3.1:57.5:18.4:88790.0:19224.89:19246.36
00350146:Public School:South Boston:PK,K,01,02,03,04,05,06,07:00350000:Level 3:Level 4:39:84:100:109:131:127:115:65:0:0:0:0:0:0:846:43.3:34.0:21.7:79.8:64.7:34.9:7.4:31.6:22.5:0.1:0.5:3.1:50.5:20.1:88790.0:19224.89:19246.36
00350154:Public School:Mattapan:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:42:45:42:42:52:23:0:0:0:0:0:0:0:0:296:21.3:17.6:26.4:79.7:67.9:64.2:1.7:26.7:3.7:0.0:0.0:3.7:55.1:15.5:88790.0:19224.89:19246.36
00350156:Public School:East Boston:PK,K,01,02,03,04,05:00350000:Level 1:Level 4:49:58:61:63:62:46:0:0:0:0:0:0:0:0:398:71.4:63.3:9.0:85.2:49.7:5.0:2.0:69.1:22.4:0.0:0.0:1.5:48.5:17.3:88790.0:19224.89:19246.36
00350485:Public School:Roxbury:06,07,08:00350000:Level 3:Level 4:0:0:0:0:0:0:99:117:155:0:0:0:0:0:371:59.0:37.5:24.0:87.3:70.4:29.4:1.6:65.8:0.5:0.0:0.3:2.4:53.1:21.0:88790.0:19224.89:19246.36
00350153:Public School:Jamaica Plain:K,01,02,03,04,05,06,07,08:00350000:Level 3:Level 4:0:51:61:93:97:91:97:50:53:0:0:0:0:0:638:57.8:47.6:20.2:85.3:68.5:27.7:2.2:62.1:6.1:0.0:0.2:1.7:50.3:16.8:88790.0:19224.89:19246.36
00350525:Public School:Dorchester:09,10,11,12:00350000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:100:109:136:143:1:489:49.7:34.4:12.1:82.6:61.1:72.8:0.6:22.5:3.3:0.0:0.0:0.8:51.9:18.2:88790.0:19224.89:19246.36
00350172:Public School:Roslindale:PK,K,01,02,03,04,05:00350000:Level 2:Level 4:13:22:43:25:25:19:0:0:0:0:0:0:0:0:172:23.3:19.2:12.2:60.5:47.7:40.7:1.2:32.6:22.1:0.0:0.6:2.9:52.9:22.0:88790.0:19224.89:19246.36
00350166:Public School:Jamaica Plain:PK,K,01,02,03,04,05:00350000:Level 3:Level 4:26:58:65:57:67:53:0:0:0:0:0:0:0:0:382:57.6:51.0:15.4:86.1:68.6:20.4:1.0:71.5:4.7:0.0:0.0:2.4:50.0:15.6:88790.0:19224.89:19246.36
00350179:Public School:Dorchester:06,07,08:00350000:Level 3:Level 4:0:0:0:0:0:0:136:143:165:0:0:0:0:0:444:55.4:30.2:24.1:89.2:72.5:32.0:7.2:55.0:5.0:0.0:0.0:0.9:51.4:19.4:88790.0:19224.89:19246.36
00350180:Public School:Dorchester:PK,K,01,02,03,04,05:00350000:Level 4:Level 4:33:49:49:47:56:36:0:0:0:0:0:0:0:0:329:35.6:25.5:12.5:82.1:71.4:58.4:2.7:31.9:0.9:0.6:1.5:4.0:46.5:18.7:88790.0:19224.89:19246.36
00350182:Public School:Boston:PK,K,01,02,03,04,05,06,07,08:00350000:Level 1:Level 4:29:48:48:42:42:31:33:19:17:0:0:0:0:0:353:65.2:53.3:11.9:71.4:51.8:6.2:0.6:72.5:18.1:0.0:0.0:2.5:49.3:19.2:88790.0:19224.89:19246.36
